                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94468,                 2.1353,                 12.178,                0.57042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.73742,                 3.7614,                 3.5019,                  0.358,             0.00065116,             0.00065116,             0.00065116
                      2,                0.97257,                   2.58,                 10.858,                0.61555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.84747,                 3.6855,                 3.6562,                0.75018,              0.0013048,              0.0013048,              0.0013048
                      3,                0.98638,                 2.0789,                 9.7329,                0.60222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0253,                 2.0264,                 1.6649,                0.62179,              0.0019452,              0.0019452,              0.0019452
                      4,                 0.9442,                 1.9504,                 8.7535,                0.64037,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2492,                 3.0814,                 2.3164,                  1.147,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1324,                 2.6552,                 8.5023,                0.56658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2592,                 1.6413,                  1.647,                 1.0748,              0.0019208,              0.0019208,              0.0019208
                      6,                0.73541,                  2.528,                 7.9437,                0.36697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2247,                0.88805,                 1.9815,                 1.5149,               0.001901,               0.001901,               0.001901
                      7,                 1.4975,                 2.8601,                 7.4288,                0.92565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4908,                 2.1814,                 2.5032,                 0.9943,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0648,                 1.4318,                 6.9072,                0.59053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3083,                 2.7348,                 1.6195,                 1.2812,              0.0018614,              0.0018614,              0.0018614
                      9,                0.94521,                 1.3793,                 6.3022,                0.61671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1566,                 1.5183,                 1.6953,                 0.9492,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3435,                 1.8841,                  6.022,                0.72526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4482,                 2.8563,                 1.5473,                 1.0278,              0.0018218,              0.0018218,              0.0018218
                     11,                0.89194,                 1.2645,                 5.5779,                0.50378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0738,                 2.4968,                 1.1341,                0.93051,               0.001802,               0.001802,               0.001802
                     12,                 1.3152,                 1.8789,                 5.2079,                0.66217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.022,                 3.3671,                 1.1237,                 1.0272,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3268,                  2.196,                 4.8479,                 0.6757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3308,                 5.9579,                 1.2288,                 1.4083,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2757,                 2.3746,                 4.6925,                0.67424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3625,                 2.0896,                 1.2402,                 1.2349,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.437,                 1.7658,                  4.506,                0.90612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.5626,                 5.3856,                  1.364,                0.99962,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.8855,                 1.6391,                 3.8301,                 0.5333,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2788,                 2.5116,                 1.3249,                 0.6449,               0.001703,               0.001703,               0.001703
                     17,                  0.731,                 1.0596,                 3.4826,                0.44708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4181,                 2.5135,                 1.3673,                0.72981,              0.0016832,              0.0016832,              0.0016832
                     18,                0.91782,                 1.3388,                 3.3935,                0.52269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4729,                  3.496,                 1.4114,                0.87442,              0.0016634,              0.0016634,              0.0016634
                     19,                0.90459,                 1.7572,                 3.2653,                 0.5553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4031,                 3.7362,                  1.413,                0.86392,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4178,                 1.9566,                 3.3772,                0.82196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3058,                 1.8176,                 1.2041,                0.82437,              0.0016238,              0.0016238,              0.0016238
                     21,                0.77973,                 1.0581,                 2.6894,                 0.3852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3733,                 1.8722,                 1.2074,                0.85293,               0.001604,               0.001604,               0.001604
                     22,                 1.3243,                 1.5983,                 2.9681,                0.74209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2756,                 1.8545,                 1.1823,                0.61302,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2146,                 1.9503,                 2.7665,                0.66286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2506,                 1.5147,                 1.1144,                0.63873,              0.0015644,              0.0015644,              0.0015644
                     24,                0.59276,                 1.3419,                  2.269,                0.38757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2761,                 1.3398,                 1.2254,                 0.6657,              0.0015446,              0.0015446,              0.0015446
                     25,                0.89057,                 1.2395,                 2.3368,                0.51675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2989,                  2.245,                 1.1035,                0.67966,              0.0015248,              0.0015248,              0.0015248
                     26,                0.80203,                 1.3609,                 2.1244,                 0.4372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2511,                  2.554,                0.90983,                 0.6682,               0.001505,               0.001505,               0.001505
                     27,                 1.5874,                 2.0266,                 2.4468,                0.72634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.2311,                 2.3722,                0.96507,                0.68106,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1371,                 1.8366,                 2.0702,                0.56712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1968,                 2.1425,                 1.0068,                0.69279,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.098,                 1.6737,                 2.0678,                0.67751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0952,                 2.0554,                 0.7892,                0.60495,              0.0014456,              0.0014456,              0.0014456
                     30,                0.79532,                 1.2441,                 1.7153,                0.44848,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.98941,                 1.8782,                 0.8395,                0.51649,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0424,                 1.6547,                 1.8685,                0.52489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.0111,                 1.6562,                0.84609,                 0.5649,               0.001406,               0.001406,               0.001406
                     32,                 1.5837,                 2.1182,                 2.2575,                0.89091,                0.00116,                   0.04,                0.00062,                0.00031,                      0,                      0,                      0,                      0,                 0.9938,                 1.6734,                 1.1807,                0.63132,              0.0013862,              0.0013862,              0.0013862
                     33,                0.79977,                 1.6375,                 1.6684,                0.40082,                0.00116,                   0.04,                0.00062,                0.00031,                      0,                      0,                      0,                      0,                 1.0936,                 2.9022,                 1.0115,                   0.73,              0.0013664,              0.0013664,              0.0013664
